Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/en-au/engineering,procoredev,200,stg.procore.com|AU|Company|Engineering,Company|Engineering,stg.procore.com,Before Unload,2019-07-26T16:21:36.81-07:00,6306121548,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/engineering,19549,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,378,70,1685,9,2118,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/events,procoredev,200,stg.procore.com|AU|Event|Industry Events,Event|Industry Events,stg.procore.com,Before Unload,2019-07-26T16:21:38.133-07:00,7367928437,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/events,898,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,127,1,996,8,1147,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/field-productivity,procoredev,200,stg.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Before Unload,2019-07-26T16:21:40.550-07:00,9622148286,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/field-productivity,3424,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,133,1,1347,9,1504,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/field-productivity/crews,procoredev,200,stg.procore.com|AU|Product|Field Productivity|Crews,Product|Field Productivity|Crews,stg.procore.com,Before Unload,2019-07-26T16:21:44.49-07:00,2612435989,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/field-productivity/crews,3700,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,125,1,2904,4,3050,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/innovation-lab,procoredev,200,stg.procore.com|AU|Event|Innovation Lab,Event|Innovation Lab,stg.procore.com,Before Unload,2019-07-26T16:21:46.429-07:00,9953567917,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/innovation-lab,6631,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,310,73,1467,4,1816,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/jobs,procoredev,200,stg.procore.com|AU|Company|Jobs,Company|Jobs,stg.procore.com,Before Unload,2019-07-26T16:21:49.507-07:00,5667409971,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/jobs,4376,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,291,1,1987,9,2303,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/jobs/benefits,procoredev,200,stg.procore.com|AU|Company|Jobs|Benefits,Company|Jobs|Benefits,stg.procore.com,Before Unload,2019-07-26T16:21:51.934-07:00,3738220141,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/jobs/benefits,4416,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,141,70,1760,4,1926,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/jobs/openings,procoredev,200,stg.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Before Unload,2019-07-26T16:21:54.556-07:00,8387431708,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/jobs/openings,18624,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,337,1,1759,5,2145,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/jobs/openings/1056317,procoredev,200,stg.procore.com|US|Company|Jobs|Openings|1056317,Company|Jobs|Openings|1056317,stg.procore.com,Before Unload,2019-07-26T16:21:57.955-07:00,5384056693,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/jobs/openings/1056317,10702,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,124,3,2553,4,2740,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/jobs/sales,procoredev,200,stg.procore.com|AU|Company|Jobs|Sales,Company|Jobs|Sales,stg.procore.com,Before Unload,2019-07-26T16:22:00.540-07:00,8027311061,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/jobs/sales,4460,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,286,1,1819,5,2155,1,1,1,1,1,1,,,,,,,,,,,,,,,,
