Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Event Type (v42),Event Name (v43),Event Label (v44),Event Count (v45),Custom Event Count (event18)
https://stg.procore.com/en-au/jobs,procorestaging,200,stg.procore.com|AU|Company|Jobs,Company|Jobs,stg.procore.com,Custom Event,2019-08-05T17:34:09.330-07:00,7229006543,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/jobs,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/jobs/benefits,procorestaging,200,stg.procore.com|AU|Company|Jobs|Benefits,Company|Jobs|Benefits,stg.procore.com,Custom Event,2019-08-05T17:34:11.242-07:00,6842570122,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/jobs/benefits,,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/jobs/openings,procorestaging,200,stg.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,stg.procore.com,Custom Event,2019-08-05T17:34:23.48-07:00,8089807829,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/jobs/openings,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/jobs/openings/1056317,procorestaging,200,stg.procore.com|US|Company|Jobs|Openings|1056317,Company|Jobs|Openings|1056317,stg.procore.com,Custom Event,2019-08-05T17:34:35.371-07:00,9194806355,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/jobs/openings/1056317,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/jobs/sales,procorestaging,200,stg.procore.com|AU|Company|Jobs|Sales,Company|Jobs|Sales,stg.procore.com,Custom Event,2019-08-05T17:34:37.84-07:00,3868204586,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/jobs/sales,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/legal,procorestaging,200,stg.procore.com|AU|Company|Legal|Overview,Company|Legal|Overview,stg.procore.com,Custom Event,2019-08-05T17:34:38.816-07:00,1314372253,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/legal,,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/legal/api-terms-and-conditions,procorestaging,200,stg.procore.com|AU|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,stg.procore.com,Custom Event,2019-08-05T17:34:40.788-07:00,8050845424,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/legal/api-terms-and-conditions,,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/partners,procorestaging,200,stg.procore.com|AU|Resource|Partners,Resource|Partners,stg.procore.com,Custom Event,2019-08-05T17:34:48.110-07:00,6086546924,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/partners,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/platform,procorestaging,200,stg.procore.com|AU|Product|Platform|Overview,Product|Platform|Overview,stg.procore.com,Custom Event,2019-08-05T17:34:50.119-07:00,6963600384,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/platform,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/press,procorestaging,200,stg.procore.com|AU|Company|Press|Overview,Company|Press|Overview,stg.procore.com,Custom Event,2019-08-05T17:35:00.484-07:00,6983781190,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/press,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
