Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Event Type (v42),Event Name (v43),Event Label (v44),Event Count (v45),Custom Event Count (event18)
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-28T01:03:08.679-07:00,2320600117,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-28T01:03:17.389-07:00,2320600117,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/?test=query,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-28T01:03:21.792-07:00,1976993271,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/?test=query-with-frag,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-28T01:03:25.212-07:00,9616164198,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procoredev,200,stg.procore.com|US|Home,Home,stg.procore.com,Custom Event,2019-07-28T01:03:29.636-07:00,5003406518,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/about,procoredev,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Custom Event,2019-07-28T01:03:34.722-07:00,9961974830,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/about,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/blueprint,procoredev,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Custom Event,2019-07-28T01:03:38.590-07:00,6010678432,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/blueprint,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/buildersclub,procoredev,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Custom Event,2019-07-28T01:03:42.476-07:00,5691873354,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/buildersclub,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/certification,procoredev,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Custom Event,2019-07-28T01:03:47.728-07:00,3992892897,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/certification,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/construction-financials,procoredev,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Custom Event,2019-07-28T01:03:52.374-07:00,9921514642,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/construction-financials,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/construction-financials/accounting-integrations,procoredev,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Custom Event,2019-07-28T01:03:55.612-07:00,1416548159,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/construction-financials/accounting-integrations,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
