Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/en-gb/legal,procoredev,200,stg.procore.com|GB|Company|Legal|Overview,Company|Legal|Overview,stg.procore.com,Before Unload,2019-07-28T01:12:44.102-07:00,7995391214,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/legal,1450,41,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,382,2,991,3,1390,1,1,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/legal/api-terms-and-conditions,procoredev,200,stg.procore.com|GB|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,stg.procore.com,Before Unload,2019-07-28T01:12:49.616-07:00,2951995736,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/legal/api-terms-and-conditions,22126,100,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,390,36,2564,5,2981,1,1,1,1,1,1,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-gb/partners,procoredev,200,stg.procore.com|GB|Resource|Partners,Resource|Partners,stg.procore.com,Before Unload,2019-07-28T01:12:55.368-07:00,4060452929,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/partners,5731,10,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+5,Online,Available,Visible,,,,,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton,1225|1295|4876,1,1,1,1,516,102,2545,4,3080,1,,,,,,,1,,,5,,,,,,,,,,,,3
https://stg.procore.com/en-gb/platform,procoredev,200,stg.procore.com|GB|Product|Platform|Overview,Product|Platform|Overview,stg.procore.com,Before Unload,2019-07-28T01:12:58.180-07:00,1662439668,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/platform,4799,13,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,310,75,2306,5,2635,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/press,procoredev,200,stg.procore.com|GB|Company|Press|Overview,Company|Press|Overview,stg.procore.com,Before Unload,2019-07-28T01:13:03.424-07:00,5863973243,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/press,13898,4,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+5,Online,Available,Visible,,,,,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton,1295|4876,1,1,1,1,463,78,1292,10,1778,,,,,,,,1,,,5,,,,,,,,,,,,2
https://stg.procore.com/en-gb/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,procoredev,200,stg.procore.com|GB|Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,stg.procore.com,Before Unload,2019-07-28T01:13:08.787-07:00,7982304849,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,3135,19,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+7,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,308,96,2656,4,2984,1,,,,,,,1,,1,7,,,,,,,,,,,,2
https://stg.procore.com/en-gb/press/procore-acquires-bimanywhere,procoredev,200,stg.procore.com|GB|Company|Press|Procore Acquires Bimanywhere,Company|Press|Procore Acquires Bimanywhere,stg.procore.com,Before Unload,2019-07-28T01:13:12.721-07:00,6152128919,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/press/procore-acquires-bimanywhere,2763,22,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,2,1,1,1,393,2,3219,4,3631,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/project-management,procoredev,200,stg.procore.com|GB|Product|Project Management|Overview,Product|Project Management|Overview,stg.procore.com,Before Unload,2019-07-28T01:13:15.882-07:00,8714631192,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/project-management,4669,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,416,2,2250,5,2685,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-gb/project-management/bidding,procoredev,200,stg.procore.com|GB|Product|Project Management|Bidding,Product|Project Management|Bidding,stg.procore.com,Before Unload,2019-07-28T01:13:19.888-07:00,2586781922,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/project-management/bidding,4644,13,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+6,Online,Available,Visible,,,,Email|Country,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,FirstName|LastName|Phone|Company|mktoButton|Email|submit,1295|4876,1,1,1,1,443,3,1189,3,1649,1,,,,,,,1,,1,6,,,,,,,,,,,,2
https://stg.procore.com/en-gb/projects,procoredev,200,stg.procore.com|GB|Resource|Projects,Resource|Projects,stg.procore.com,Before Unload,2019-07-28T01:13:57.73-07:00,2091508083,42283175745149342134298439484924150834,1103463889.1564300986,stg.procore.com,/en-gb/projects,6708,9,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1295|4876,1,1,1,1,460,75,36367,7,36847,,,,,,,,,,,,,,,,,,,,,,,2
