Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://www.procore.com/demo-thank-you,procoreprod2,200,www.procore.com|US|Landing Page|Thank you page,Landing Page|Thank you page,www.procore.com,Before Unload,2020-02-06T16:59:14.853-08:00,3666320912,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo-thank-you,,,2456,24,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,3,1,1,1,132,1,2117,14,2285,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/jobs,procoreprod2,200,www.procore.com|AU|Company|Jobs,Company|Jobs,www.procore.com,Before Unload,2020-02-06T16:59:17.896-08:00,8598851098,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/jobs,,,4607,13,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,318,4,2517,16,2879,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/jobs/benefits,procoreprod2,200,www.procore.com|AU|Company|Jobs|Benefits,Company|Jobs|Benefits,www.procore.com,Before Unload,2020-02-06T16:59:20.943-08:00,5011231618,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/jobs/benefits,,,4030,15,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,359,1,2437,11,2824,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/jobs/openings,procoreprod2,200,www.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,www.procore.com,Before Unload,2020-02-06T16:59:24.647-08:00,5194090152,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/jobs/openings,,#fragment,14619,4,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,544,185,2910,13,3539,,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/jobs/openings,procoreprod2,200,www.procore.com|AU|Company|Jobs|Openings,Company|Jobs|Openings,www.procore.com,Before Unload,2020-02-06T16:59:28.56-08:00,2393061568,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/jobs/openings,,,14619,4,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,365,1,1,1,183,1,2677,10,3251,,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/jobs/sales,procoreprod2,200,www.procore.com|AU|Company|Jobs|Sales,Company|Jobs|Sales,www.procore.com,Before Unload,2020-02-06T16:59:31.209-08:00,5361263694,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/jobs/sales,,,4088,15,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,296,1,2464,16,2792,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/legal,procoreprod2,200,www.procore.com|AU|Company|Legal|Overview,Company|Legal|Overview,www.procore.com,Before Unload,2020-02-06T16:59:34.220-08:00,8293882634,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/legal,,,2236,27,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,279,1,2480,13,2791,1,1,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/legal/api-terms-and-conditions,procoreprod2,200,www.procore.com|AU|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,www.procore.com,Before Unload,2020-02-06T16:59:37.607-08:00,4618356029,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/legal/api-terms-and-conditions,,,21127,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,450,75,2507,12,2983,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/partners,procoreprod2,200,www.procore.com|AU|Resource|Partners,Resource|Partners,www.procore.com,Before Unload,2020-02-06T16:59:40.583-08:00,1637192172,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/partners,,,6234,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1225,1,1,1,1,287,71,2480,24,2807,1,,,,,,,,,,,,,,,,,,,,,,1
https://www.procore.com/en-au/platform,procoreprod2,200,www.procore.com|AU|Product|Platform|Overview,Product|Platform|Overview,www.procore.com,Before Unload,2020-02-06T16:59:43.624-08:00,7108543255,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/platform,,,5202,12,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,317,1,2504,13,2875,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/en-au/press,procoreprod2,200,www.procore.com|AU|Company|Press|Overview,Company|Press|Overview,www.procore.com,Before Unload,2020-02-06T16:59:46.967-08:00,4574500019,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/press,,#fragment,13182,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,417,2,2514,14,2963,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T16:59:53.374-08:00,5175142274,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,2955,51,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company,4,+5,Online,Available,Visible,,,,Email,FirstName|LastName|Company|mktoButton|Email|submit,4876,1,1,1,1,277,2,2632,26,2954,1,1,1,,,,,1,,1,5,,,,,,,,,,,,1
https://www.procore.com/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,procoreprod2,200,www.procore.com|AU|Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,www.procore.com,Before Unload,2020-02-06T16:59:56.379-08:00,7019801977,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,,,3199,19,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,257,1,2491,13,2779,1,,,,,,,,,,,,,,,,,,,,,,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,Before Unload,2020-02-06T17:00:02.622-08:00,5526265220,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/demo,,,2955,51,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Company,4,+5,Online,Available,Visible,,,,Email,FirstName|LastName|Company|mktoButton|Email|submit,4876,2,1,1,1,281,1,2471,28,2797,1,1,1,,,,,1,,1,5,,,,,,,,,,,,1
https://www.procore.com/en-au/press/procore-acquires-bimanywhere,procoreprod2,200,www.procore.com|AU|Company|Press|Procore Acquires Bimanywhere,Company|Press|Procore Acquires Bimanywhere,www.procore.com,Before Unload,2020-02-06T17:00:06.59-08:00,8874309151,88384212872544261051154637826826683353,1022827805.1581037003,https:,www.procore.com,/en-au/press/procore-acquires-bimanywhere,,,2939,20,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,477,10,2689,12,3197,1,,,,,,,,,,,,,,,,,,,,,,
