Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Click Type (v46),Click Name (v47),Click Label (v48),Click Count (v49),Click Count (event19)
https://www.procore.com/en-au/jobs/benefits,procoreprod2,200,www.procore.com|AU|Company|Jobs|Benefits,Company|Jobs|Benefits,www.procore.com,Click Event,2020-04-14T15:47:49.364-07:00,3024663580,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/jobs/benefits,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/jobs/sales,procoreprod2,200,www.procore.com|AU|Company|Jobs|Sales,Company|Jobs|Sales,www.procore.com,Click Event,2020-04-14T15:47:55.363-07:00,3012355072,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/jobs/sales,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/partners,procoreprod2,200,www.procore.com|AU|Resource|Partners,Resource|Partners,www.procore.com,Click Event,2020-04-14T15:48:01.656-07:00,7417928472,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/partners,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/press,procoreprod2,200,www.procore.com|AU|Company|Press|Overview,Company|Press|Overview,www.procore.com,Click Event,2020-04-14T15:48:20.32-07:00,4530854754,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/press,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/tender-management/tendering,procoreprod2,200,www.procore.com|AU|Other|Bid Management|Tendering,Other|Bid Management|Tendering,www.procore.com,Click Event,2020-04-14T15:48:34.144-07:00,6982075736,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/tender-management/tendering,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/safety-qualified,procoreprod2,200,www.procore.com|AU|Resource|Safety Qualified,Resource|Safety Qualified,www.procore.com,Click Event,2020-04-14T15:48:42.149-07:00,2926272430,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/safety-qualified,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-au/subcontractors,procoreprod2,200,www.procore.com|AU|Solution|Subcontractors|Overview,Solution|Subcontractors|Overview,www.procore.com,Click Event,2020-04-14T15:48:47.867-07:00,1185261614,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-au/subcontractors,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/blueprint,procoreprod2,200,www.procore.com|CA|Resource|Blueprint,Resource|Blueprint,www.procore.com,Click Event,2020-04-14T15:49:52.481-07:00,1827059364,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/blueprint,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/buildersclub,procoreprod2,200,www.procore.com|CA|Resource|Builders Club,Resource|Builders Club,www.procore.com,Click Event,2020-04-14T15:49:55.688-07:00,9647510717,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/buildersclub,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/accounting-integrations,procoreprod2,200,www.procore.com|CA|Product|Accounting Integrations|Overview,Product|Accounting Integrations|Overview,www.procore.com,Click Event,2020-04-14T15:50:38.605-07:00,7874558817,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/accounting-integrations,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/continuing-education,procoreprod2,200,www.procore.com|CA|Resource|Continuing Education,Resource|Continuing Education,www.procore.com,Click Event,2020-04-14T15:50:46.120-07:00,2038685985,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/continuing-education,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/events,procoreprod2,200,www.procore.com|CA|Event|Industry Events,Event|Industry Events,www.procore.com,Click Event,2020-04-14T15:52:00.362-07:00,5311030454,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/events,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/field-productivity,procoreprod2,200,www.procore.com|CA|Product|Field Productivity|Overview,Product|Field Productivity|Overview,www.procore.com,Click Event,2020-04-14T15:52:08.553-07:00,4372270532,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/field-productivity,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/field-productivity/crews,procoreprod2,200,www.procore.com|CA|Other|Field Productivity|Crews,Other|Field Productivity|Crews,www.procore.com,Click Event,2020-04-14T15:52:10.254-07:00,6130463673,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/field-productivity/crews,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/press/procore-acquires-bimanywhere,procoreprod2,200,www.procore.com|CA|Company|Press|Procore Acquires Bimanywhere,Company|Press|Procore Acquires Bimanywhere,www.procore.com,Click Event,2020-04-14T15:53:02.685-07:00,2409783692,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/press/procore-acquires-bimanywhere,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/project-management,procoreprod2,200,www.procore.com|CA|Product|Project Management|Overview,Product|Project Management|Overview,www.procore.com,Click Event,2020-04-14T15:53:06.152-07:00,9984909825,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/project-management,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/quality-safety/daily-log,procoreprod2,200,www.procore.com|CA|Other|Quality Safety|Daily Log,Other|Quality Safety|Daily Log,www.procore.com,Click Event,2020-04-14T15:53:53.69-07:00,2960862851,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/quality-safety/daily-log,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/roadshow,procoreprod2,200,www.procore.com|CA|Event|Roadshow,Event|Roadshow,www.procore.com,Click Event,2020-04-14T15:53:54.791-07:00,5102400432,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/roadshow,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://www.procore.com/en-ca/subs-demo,procoreprod2,200,www.procore.com|CA|Landing Page|Subs Demo,Landing Page|Subs Demo,www.procore.com,Click Event,2020-04-14T15:54:17.104-07:00,6618266269,78655722977877036440907631690040238295,1102686481.1586904272,https:,www.procore.com,/en-ca/subs-demo,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
